               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.024013,             0.01094,           0.0002676,             0.99002,               0.995,             0.99455,             0.71577,            0.015319,           0.0049021,          0.00021107,           0.0076679,           0.0076679,           0.0076679
                  36,            0.023622,            0.011099,          0.00030359,             0.99005,               0.995,             0.99455,             0.72007,            0.015369,           0.0049638,          0.00025391,            0.007543,            0.007543,            0.007543
                  37,            0.023549,            0.011096,          0.00037666,             0.99005,             0.99496,              0.9947,             0.70839,            0.016062,           0.0048332,          0.00031289,            0.007416,            0.007416,            0.007416
                  38,            0.024388,            0.010321,          0.00040197,             0.98992,               0.985,             0.99157,             0.74787,            0.014857,           0.0047625,          0.00040073,           0.0072872,           0.0072872,           0.0072872
                  39,            0.022659,           0.0098188,          0.00045884,                   1,                0.99,              0.9949,              0.7395,            0.014527,           0.0047434,          0.00046181,           0.0071566,           0.0071566,           0.0071566
                  40,            0.021464,             0.01069,           0.0004596,             0.99999,               0.995,               0.995,             0.76487,            0.013811,           0.0047001,          0.00046605,           0.0070243,           0.0070243,           0.0070243
                  41,            0.025151,            0.011251,          0.00047569,                0.99,             0.98993,             0.99475,             0.75563,            0.013736,           0.0046015,          0.00043099,           0.0068906,           0.0068906,           0.0068906
                  42,            0.021428,            0.010518,          0.00044366,             0.99492,                0.99,              0.9948,             0.76061,            0.014425,           0.0045819,           0.0003981,           0.0067555,           0.0067555,           0.0067555
                  43,            0.020034,            0.010029,          0.00040315,               0.995,             0.99497,             0.99495,             0.77709,             0.01316,           0.0044998,           0.0003336,           0.0066191,           0.0066191,           0.0066191
                  44,            0.020562,           0.0092637,          0.00035228,               0.995,             0.99499,             0.99495,              0.7766,             0.01489,           0.0046027,          0.00025942,           0.0064816,           0.0064816,           0.0064816
                  45,            0.023461,            0.010109,          0.00030693,                   1,             0.98998,             0.99485,             0.78629,            0.012782,            0.004542,          0.00021698,           0.0063432,           0.0063432,           0.0063432
                  46,             0.01986,           0.0099767,          0.00025686,             0.99999,                0.99,              0.9949,             0.76629,            0.013838,           0.0046045,           0.0001852,            0.006204,            0.006204,            0.006204
                  47,            0.019785,           0.0095627,          0.00021377,             0.99495,               0.995,             0.99495,             0.75707,            0.013786,           0.0047281,          0.00017188,            0.006064,            0.006064,            0.006064
                  48,            0.018773,           0.0093089,          0.00020196,             0.99999,               0.995,               0.995,             0.79752,            0.013349,           0.0044956,           0.0001602,           0.0059235,           0.0059235,           0.0059235
                  49,            0.020853,           0.0095993,          0.00021927,                   1,             0.99499,               0.995,             0.79978,            0.012089,           0.0044374,          0.00015653,           0.0057826,           0.0057826,           0.0057826
                  50,            0.020132,           0.0094717,           0.0002181,             0.99998,               0.995,               0.995,             0.80195,            0.012348,           0.0044906,          0.00015379,           0.0056413,           0.0056413,           0.0056413
                  51,            0.018426,           0.0095433,           0.0001894,                   1,             0.99499,               0.995,             0.80536,            0.013233,             0.00433,          0.00014458,              0.0055,              0.0055,              0.0055
                  52,            0.018608,           0.0093189,          0.00026754,             0.99999,               0.995,               0.995,              0.8206,            0.011731,           0.0042196,          0.00014755,           0.0053587,           0.0053587,           0.0053587
                  53,            0.019391,           0.0098238,          0.00021976,                   1,             0.99499,               0.995,             0.82416,            0.011479,           0.0041398,          0.00014524,           0.0052174,           0.0052174,           0.0052174
                  54,            0.020429,            0.010691,          0.00020794,             0.99999,               0.995,               0.995,              0.7973,            0.011871,           0.0042009,          0.00013825,           0.0050765,           0.0050765,           0.0050765
                  55,             0.01798,           0.0095912,          0.00017527,             0.99999,               0.995,               0.995,             0.80922,            0.011242,           0.0040972,          0.00013294,            0.004936,            0.004936,            0.004936
                  56,            0.019798,           0.0093668,          0.00018557,             0.99998,               0.995,               0.995,              0.8189,             0.01142,           0.0040286,          0.00013211,            0.004796,            0.004796,            0.004796
