               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.016843,            0.009805,           0.0018357,             0.98542,             0.98817,             0.99446,              0.8105,            0.013421,           0.0060922,          0.00055113,           0.0033259,           0.0033259,            0.070067
                   1,            0.018345,           0.0099771,          0.00094308,             0.98438,             0.99357,             0.99417,             0.80367,            0.013844,           0.0060157,          0.00052294,           0.0066583,           0.0066583,            0.040066
                   2,            0.022457,            0.010654,           0.0010809,             0.98406,             0.98956,             0.99445,             0.79023,            0.015566,           0.0063567,          0.00043757,           0.0099872,           0.0099872,            0.010061
                   3,            0.023756,            0.010764,           0.0012479,             0.99549,             0.99334,             0.99459,              0.7691,             0.01751,           0.0064596,          0.00050181,           0.0099878,           0.0099878,           0.0099878
                   4,            0.023614,            0.010932,           0.0022196,             0.98545,             0.99186,              0.9946,             0.76979,            0.016128,           0.0065273,          0.00049043,           0.0099878,           0.0099878,           0.0099878
                   5,            0.022419,             0.01103,           0.0014932,             0.98098,             0.98668,             0.99411,             0.77276,            0.016262,           0.0066865,          0.00048132,           0.0099783,           0.0099783,           0.0099783
                   6,            0.023573,            0.011067,           0.0018989,             0.98207,             0.99185,             0.99411,             0.77119,            0.016167,           0.0065979,          0.00065467,           0.0099662,           0.0099662,           0.0099662
                   7,             0.02256,             0.01146,           0.0023519,              0.9853,             0.98768,             0.99403,             0.76422,            0.016845,           0.0066926,          0.00046244,           0.0099513,           0.0099513,           0.0099513
                   8,            0.022957,            0.011272,            0.002103,             0.99369,             0.98968,             0.99427,             0.77172,            0.016199,           0.0065578,           0.0006567,           0.0099337,           0.0099337,           0.0099337
                   9,            0.021878,            0.010869,           0.0021807,             0.98747,             0.98852,             0.99381,              0.7547,            0.016811,           0.0066858,          0.00044466,           0.0099135,           0.0099135,           0.0099135
                  10,            0.022789,            0.011113,           0.0019205,             0.98804,             0.99183,             0.99441,             0.76609,            0.016124,           0.0066723,            0.000419,           0.0098907,           0.0098907,           0.0098907
                  11,            0.021457,            0.011049,           0.0019851,             0.99611,             0.98996,              0.9945,             0.77388,            0.016008,           0.0065008,          0.00038681,           0.0098651,           0.0098651,           0.0098651
                  12,            0.021958,            0.010789,           0.0019411,              0.9895,             0.99324,             0.99477,             0.77665,            0.015812,           0.0065071,          0.00039598,            0.009837,            0.009837,            0.009837
                  13,            0.021815,             0.01124,           0.0021999,              0.9928,             0.99055,             0.99475,             0.76696,             0.01585,           0.0066448,          0.00059471,           0.0098062,           0.0098062,           0.0098062
                  14,            0.022154,            0.010971,           0.0017613,             0.99008,             0.99461,             0.99429,             0.77542,            0.015801,           0.0065482,           0.0003517,           0.0097729,           0.0097729,           0.0097729
                  15,            0.021307,            0.011102,           0.0020338,             0.99308,              0.9946,             0.99471,             0.77509,             0.01553,           0.0065463,          0.00030875,           0.0097369,           0.0097369,           0.0097369
                  16,             0.02145,            0.011116,           0.0015386,             0.99109,             0.98772,             0.99418,             0.78125,            0.015131,           0.0063931,           0.0003605,           0.0096985,           0.0096985,           0.0096985
                  17,            0.021433,            0.010739,           0.0020553,             0.99024,             0.99227,             0.99473,             0.77785,            0.015234,           0.0064266,           0.0004248,           0.0096575,           0.0096575,           0.0096575
                  18,            0.021952,             0.01115,           0.0015115,              0.9935,             0.99264,             0.99482,             0.78422,            0.015258,           0.0063224,          0.00039559,           0.0096139,           0.0096139,           0.0096139
                  19,            0.022106,            0.011024,           0.0014307,             0.99557,             0.99499,              0.9949,             0.78688,             0.01496,           0.0061537,          0.00031938,            0.009568,            0.009568,            0.009568
                  20,            0.021056,            0.010726,           0.0014536,             0.99629,             0.98829,             0.99472,             0.79174,            0.014899,           0.0062828,          0.00031971,           0.0095195,           0.0095195,           0.0095195
                  21,            0.020894,            0.010903,           0.0015768,             0.99114,             0.99411,             0.99463,              0.7825,            0.014554,           0.0063264,          0.00032249,           0.0094686,           0.0094686,           0.0094686
                  22,            0.021171,            0.010833,           0.0017156,             0.98965,             0.99494,             0.99478,             0.79767,              0.0148,           0.0061608,          0.00030662,           0.0094154,           0.0094154,           0.0094154
                  23,            0.020769,             0.01044,           0.0013115,             0.99177,               0.994,              0.9949,             0.77488,            0.015214,           0.0062852,           0.0002894,           0.0093598,           0.0093598,           0.0093598
                  24,            0.021269,            0.010275,           0.0013459,             0.99383,             0.99451,             0.99474,              0.7843,            0.015677,            0.006237,          0.00031869,           0.0093018,           0.0093018,           0.0093018
